brand,worth,worth_lo,worth_hi,n_lists
Nike,0.925460,0.879804,0.953973,280
Adidas,0.045576,0.027697,0.067944,280
"Jordan Brand",0.011386,0.003738,0.029914,280
Jordan,0.010604,0.005004,0.018608,280
Converse,0.001908,0.000000,0.009387,280
Puma,0.000861,0.000321,0.001512,280
ASICS,0.000752,0.000267,0.001983,280
"Under Armour",0.000720,0.000294,0.001187,280
PUMA,0.000529,0.000017,0.008919,280
Mizuno,0.000441,0.000148,0.001147,280
"New Balance",0.000439,0.000180,0.000728,280
Asics,0.000389,0.000017,0.010578,280
Reebok,0.000349,0.000000,0.001666,280
"Foot Locker",0.000163,0.000027,0.000394,280
"JD Sports",0.000153,0.000003,0.000627,280
Size?,0.000090,0.000000,0.000822,280
Decathlon,0.000073,0.000000,0.000103,280
Eastbay,0.000032,0.000000,0.000104,280
"Sports Direct",0.000023,0.000000,0.000066,280
"Pro:Direct Sport",0.000023,0.000000,0.000051,280
Zalando,0.000014,0.000000,0.001209,280
Amazon,0.000010,0.000000,0.000046,280
"Finish Line",0.000006,0.000000,0.000016,280
